iter	Passed	Remaining
0	60	60237
1	60	30300
2	61	20308
3	61	15316
4	61	12316
5	62	10321
6	62	8890
7	63	7831
8	63	6997
9	63	6330
10	64	5800
11	64	5345
12	65	4960
13	65	4635
14	66	4347
15	66	4096
16	67	3874
17	67	3675
18	67	3499
19	68	3340
20	68	3196
21	69	3068
22	69	2951
23	69	2843
24	70	2744
25	70	2651
26	71	2569
27	71	2491
28	72	2420
29	72	2352
30	73	2287
31	73	2230
32	74	2172
33	74	2121
34	75	2069
35	75	2020
36	75	1974
37	76	1929
38	76	1888
39	76	1847
40	77	1810
41	77	1774
42	78	1739
43	78	1706
44	78	1675
45	79	1645
46	79	1615
47	80	1588
48	80	1561
49	80	1535
50	81	1511
51	81	1487
52	81	1464
53	82	1442
54	82	1422
55	83	1402
56	83	1384
57	84	1366
58	84	1349
59	85	1333
60	85	1316
61	86	1301
62	86	1285
63	86	1271
64	87	1258
65	87	1244
66	88	1231
67	88	1214
68	89	1201
69	89	1188
70	89	1175
71	90	1163
72	90	1151
73	91	1139
74	91	1128
75	91	1117
76	92	1106
77	92	1095
78	93	1085
79	93	1075
80	93	1065
81	94	1055
82	94	1046
83	95	1037
84	95	1027
85	95	1019
86	96	1008
87	96	1000
88	96	992
89	97	983
90	97	975
91	98	968
92	98	960
93	98	953
94	99	946
95	99	939
96	100	932
97	100	926
98	101	919
99	101	912
100	101	906
101	101	897
102	102	891
103	102	885
104	103	879
105	103	874
106	104	868
107	104	865
108	105	860
109	105	855
110	106	850
111	106	845
112	107	840
113	107	835
114	107	830
115	108	824
116	108	820
117	109	816
118	109	810
119	109	805
120	110	800
121	110	795
122	110	789
123	111	785
124	111	781
125	112	777
126	112	773
127	112	767
128	113	763
129	113	759
130	113	756
131	114	752
132	114	748
133	115	744
134	115	741
135	116	737
136	116	733
137	116	729
138	117	725
139	117	722
140	118	719
141	118	715
142	118	712
143	119	708
144	119	705
145	120	702
146	120	699
147	121	697
148	121	695
149	122	693
150	122	690
151	123	687
152	123	685
153	124	682
154	124	679
155	125	677
156	126	677
157	126	674
158	127	672
159	127	670
160	128	667
161	128	664
162	129	662
163	129	659
164	129	656
165	130	653
166	130	651
167	131	648
168	131	646
169	131	643
170	132	640
171	132	638
172	132	635
173	133	632
174	133	630
175	134	627
176	134	625
177	134	622
178	135	620
179	135	618
180	135	614
181	136	612
182	136	610
183	137	607
184	137	605
185	137	603
186	138	600
187	138	598
188	139	596
189	140	597
190	140	595
191	140	593
192	141	591
193	141	588
194	142	586
195	142	585
196	143	584
197	143	582
198	144	580
199	144	578
200	145	576
201	145	574
202	145	572
203	146	570
204	146	569
205	147	567
206	147	565
207	147	563
208	148	561
209	148	559
210	149	558
211	149	556
212	150	554
213	150	552
214	150	550
215	151	549
216	151	547
217	152	545
218	152	543
219	152	542
220	153	540
221	153	538
222	154	537
223	154	535
224	154	533
225	155	532
226	155	530
227	156	528
228	156	527
229	156	525
230	157	524
231	157	522
232	158	520
233	158	519
234	159	517
235	159	516
236	159	514
237	160	513
238	160	511
239	161	510
240	161	508
241	161	507
242	162	506
243	162	504
244	163	502
245	163	501
246	163	499
247	164	498
248	164	496
249	165	495
250	165	493
251	165	492
252	166	490
253	166	489
254	166	487
255	167	486
256	167	485
257	168	483
258	168	482
259	169	481
260	169	479
261	169	478
262	170	476
263	170	475
264	170	473
265	171	472
266	171	471
267	171	469
268	172	468
269	172	466
270	173	465
271	173	464
272	173	463
273	174	462
274	174	461
275	175	459
276	175	458
277	176	457
278	176	456
279	176	454
280	177	453
281	177	452
282	178	451
283	178	450
284	178	448
285	179	447
286	179	446
287	180	445
288	180	444
289	180	442
290	181	441
291	181	440
292	182	439
293	182	438
294	182	437
295	183	436
296	183	435
297	184	433
298	184	432
299	184	431
300	185	430
301	185	429
302	186	427
303	186	426
304	186	425
305	187	425
306	187	423
307	188	423
308	188	422
309	189	420
310	189	419
311	189	418
312	190	417
313	190	416
314	191	415
315	191	414
316	191	413
